rsID,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,Gene,traitName,efoTraits,bgTraits,accessionId,locations,pubmedId,author,Chromosome,Position
rs1558744-A,3e-12,-,0.38,1.35,,-,IFNG-AS1,Ulcerative colitis,ulcerative colitis,-,GCST000311,12:68110812,19122664,Silverberg MS,12,68110812.0
rs11203002-?,3e-12,-,NR,-,0.115,[0.083-0.147],"CH25H,MIR4679-2",Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:89146767,37156999,Liu Z,10,89146767.0
rs11306716-?,3e-12,(subset analysis),NR,-,,-,"CTLA4,RNU6-474P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:203843041,26974007,Ellinghaus D,2,203843041.0
rs2310173-T,3e-12,-,0.46,1.09,,[1.05-1.14],"IL1R1,IL1R2",Ulcerative colitis,ulcerative colitis,-,GCST000964,2:102047167,21297633,Anderson CA,2,102047167.0
rs10797432-C,3e-12,-,0.522,1.078,,[1.041-1.116],"PRXL2B,TNFRSF14",Ulcerative colitis,ulcerative colitis,-,GCST001728,1:2569899,23128233,Jostins L,1,2569899.0
rs941823-C,4e-12,-,0.76,1.12,,[1.07-1.17],LINC00598,Ulcerative colitis,ulcerative colitis,-,GCST000964,13:40439840,21297633,Anderson CA,13,40439840.0
rs3774959-A,4e-12,-,0.358,1.118,,[1.077-1.159],NFKB1,Ulcerative colitis,ulcerative colitis,-,GCST001728,4:102589957,23128233,Jostins L,4,102589957.0
rs76913543-?,4e-12,(subset analysis),NR,-,,-,"IL15RA,IL2RA","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:6000052,26974007,Ellinghaus D,10,6000052.0
rs10974900-?,4e-12,-,NR,0.83979285,,-,JAK2,Ulcerative colitis,ulcerative colitis,-,GCST90446795,9:4987958,37156999,Liu Z,9,4987958.0
rs2549803-?,4e-12,(subset analysis),NR,-,,-,"ERAP1,ERAP2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:96839226,26974007,Ellinghaus D,5,96839226.0
rs1558744-A,4e-12,-,NR,1.2,,[NR],IFNG-AS1,Ulcerative colitis,ulcerative colitis,-,GCST000624,12:68110812,20228799,McGovern DP,12,68110812.0
rs4917129-?,4e-12,(subset analysis),NR,-,,-,"IKZF1,SPMIP7","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,7:50283578,26974007,Ellinghaus D,7,50283578.0
rs259964-?,4e-12,(subset analysis),NR,-,,-,ZNF831,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,20:59249254,26974007,Ellinghaus D,20,59249254.0
rs1883832-?,4e-12,(subset analysis),NR,-,,-,CD40,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,20:46118343,26974007,Ellinghaus D,20,46118343.0
rs35018800-?,5e-12,(subset analysis),NR,-,,-,TYK2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:10354167,26974007,Ellinghaus D,19,10354167.0
rs56211063-?,5e-12,-,NR,-,0.1443,[0.1-0.19],"DELEC1,TNFSF15",Ulcerative colitis,ulcerative colitis,-,GCST90446794,9:114823617,37156999,Liu Z,9,114823617.0
rs9977672-G,6e-12,-,0.7579,-,0.1482,[0.1-0.2],"LINC02940,RPL23AP12",Ulcerative colitis,ulcerative colitis,-,GCST90480319,21:39091357,39024449,Verma A,21,39091357.0
rs71559680-?,6e-12,(subset analysis),NR,-,,-,"CDKAL1,LINC00581","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:21430497,26974007,Ellinghaus D,6,21430497.0
rs148897986-C,6e-12,-,0.9971,-,2.662,[2.62-2.7],"TSEN15P3,LINC03007",Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,7:25522916,39024449,Verma A,7,25522916.0
rs267939-C,6e-12,-,0.37,1.1,,[1.06-1.15],DAP,Ulcerative colitis,ulcerative colitis,-,GCST000964,5:10752203,21297633,Anderson CA,5,10752203.0
rs545789536-C,6e-12,-,0.9983,-,2.096,[2.04-2.15],ANKRD12,Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,18:9159730,39024449,Verma A,18,9159730.0
rs4246905-C,6e-12,-,0.71,1.1,,[1.05-1.15],TNFSF15,Ulcerative colitis,ulcerative colitis,-,GCST000964,9:114790969,21297633,Anderson CA,9,114790969.0
rs17694108-A,6e-12,(EA),0.2797,1.1005878,,[1.07-1.13],"CEBPA,SLC7A10",Ulcerative colitis,ulcerative colitis,-,GCST003045,19:33240645,26192919,Liu JZ,19,33240645.0
rs28998802-?,7e-12,(subset analysis),NR,-,,-,NOS2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:27797882,26974007,Ellinghaus D,17,27797882.0
rs6426833-G,7e-12,-,NR,0.85,,-,"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST90454275,1:19845367,37002690,Zeng Y,1,19845367.0
rs140010323-C,7e-12,-,0.9991,-,2.227,[2.18-2.28],YES1,Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,18:781731,39024449,Verma A,18,781731.0
rs7556897-?,8e-12,(subset analysis),NR,-,,-,"SNRPGP8,CCL20","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:227795396,26974007,Ellinghaus D,2,227795396.0
rs7115956-?,8e-12,(subset analysis),NR,-,,-,"RDX,LINC02715","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:110085620,26974007,Ellinghaus D,11,110085620.0
rs111771292-A,8e-12,-,0.9988,-,2.353,[2.31-2.4],KIAA0319,Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,6:24582760,39024449,Verma A,6,24582760.0
rs395157-A,9e-12,(EA),0.4842,1.0890996,,[1.06-1.11],OSMR,Ulcerative colitis,ulcerative colitis,-,GCST003045,5:38867630,26192919,Liu JZ,5,38867630.0
rs77948921-?,9e-12,-,NR,-,0.087,[0.062-0.112],SMG1P5,Ulcerative colitis,ulcerative colitis,-,GCST90446794,16:30328432,37156999,Liu Z,16,30328432.0
rs1801274-A,1e-11,-,NR,1.17,,-,FCGR2A,Ulcerative colitis,ulcerative colitis,-,GCST90454275,1:161509955,37002690,Zeng Y,1,161509955.0
rs35874463-?,1e-11,(subset analysis),NR,-,,-,SMAD3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,15:67165360,26974007,Ellinghaus D,15,67165360.0
rs147219747-A,1e-11,-,0.9975,-,1.708,[1.64-1.78],CEP128,Ulcerative colitis,ulcerative colitis,-,GCST90479622,14:80829319,39024449,Verma A,14,80829319.0
rs3024493-A,1e-11,-,NR,-,0.1847,[0.13-0.24],IL10,Ulcerative colitis,ulcerative colitis,-,GCST90018933,1:206770623,34594039,Sakaue S,1,206770623.0
rs62097857-?,1e-11,(subset analysis),NR,-,,-,PTPN2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,18:12857759,26974007,Ellinghaus D,18,12857759.0
rs1267499-?,1e-11,(subset analysis),NR,-,,-,"RNU6-793P,RPL6P17","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:14715651,26974007,Ellinghaus D,6,14715651.0
rs10910092-?,1e-11,(EA),NR,-,,-,"PRXL2B,TNFRSF14",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:2570077,26192919,Liu JZ,1,2570077.0
rs1887428-G,1e-11,-,0.3341,-,0.1388,[0.094-0.184],JAK2,Ulcerative colitis,ulcerative colitis,-,GCST90480319,9:4984530,39024449,Verma A,9,4984530.0
rs4728142-?,2e-11,(subset analysis),NR,-,,-,"KCP,IRF5","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,7:128933913,26974007,Ellinghaus D,7,128933913.0
rs10010325-?,2e-11,(EA),NR,-,,-,"TET2-AS1,TET2",Ulcerative colitis,ulcerative colitis,-,GCST003045,4:105185196,26192919,Liu JZ,4,105185196.0
rs4845604-?,2e-11,-,NR,-,,-,RORC,Ulcerative colitis,ulcerative colitis,-,GCST004133,1:151829204,28067908,de Lange KM,1,151829204.0
rs907613-?,2e-11,-,NR,-,0.0847,[0.06-0.109],LSP1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,11:1853062,37156999,Liu Z,11,1853062.0
rs4802307-?,2e-11,(subset analysis),NR,-,,-,"PPP5C,HIF3A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,19:46346549,26974007,Ellinghaus D,19,46346549.0
rs567689672-A,2e-11,-,0.9993,-,3.254,[3.23-3.28],SEPTIN9,Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,17:77355132,39024449,Verma A,17,77355132.0
rs6426833-?,2e-11,-,NR,-,,-,"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST000527,1:19845367,19915572,Barrett JC,1,19845367.0
rs71407313-?,2e-11,-,NR,-,0.1362,[0.097-0.176],CRTC3,Ulcerative colitis,ulcerative colitis,-,GCST90446794,15:90600362,37156999,Liu Z,15,90600362.0
rs174535-?,2e-11,(subset analysis),NR,-,,-,"TMEM258,MYRF","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:61783884,26974007,Ellinghaus D,11,61783884.0
rs12720356-C,2e-11,(EA),0.08572,1.1656502,,[1.12-1.21],TYK2,Ulcerative colitis,ulcerative colitis,-,GCST003045,19:10359299,26192919,Liu JZ,19,10359299.0
rs59790099-?,2e-11,-,NR,-,0.0932,[0.066-0.12],PRKCB,Ulcerative colitis,ulcerative colitis,-,GCST90446794,16:23857964,37156999,Liu Z,16,23857964.0
rs79755370-A,2e-11,-,NR,-,0.3098,[0.22-0.4],IL23R,Ulcerative colitis,ulcerative colitis,-,GCST90018933,1:67234232,34594039,Sakaue S,1,67234232.0
rs2234161-?,2e-11,(subset analysis),NR,-,,-,TNFRSF14,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:2559766,26974007,Ellinghaus D,1,2559766.0
rs1333062-?,2e-11,(subset analysis),NR,-,,-,"CD244,ITLN1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:160876494,26974007,Ellinghaus D,1,160876494.0
rs113010081-?,2e-11,-,NR,-,0.1338,[0.095-0.173],"CCRL2,LINC02009",Ulcerative colitis,ulcerative colitis,-,GCST90446794,3:46415921,37156999,Liu Z,3,46415921.0
rs577185043-A,2e-11,-,0.9997,-,3.119,[3.09-3.15],"BTBD3,PA2G4P2",Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,20:12050079,39024449,Verma A,20,12050079.0
rs11676348-?,2e-11,(subset analysis),NR,-,,-,"CXCR1,CXCR2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:218145423,26974007,Ellinghaus D,2,218145423.0
rs4712651-?,3e-11,-,NR,0.8259674,,-,CASC15,Ulcerative colitis,ulcerative colitis,-,GCST90446795,6:22062256,37156999,Liu Z,6,22062256.0
rs11188950-?,3e-11,-,NR,-,0.1605,[0.11-0.21],LCOR,Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:96860106,37156999,Liu Z,10,96860106.0
rs6671847-?,3e-11,-,NR,0.82365793,,-,FCGR2A,Ulcerative colitis,ulcerative colitis,-,GCST90446795,1:161509020,37156999,Liu Z,1,161509020.0
rs12075255-?,3e-11,(subset analysis),NR,-,,-,IL19,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:206788283,26974007,Ellinghaus D,1,206788283.0
rs2497318-?,3e-11,(subset analysis),NR,-,,-,"HHEX,EIF2S2P3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:92672243,26974007,Ellinghaus D,10,92672243.0
rs6556411-?,3e-11,(subset analysis),NR,-,,-,"LINC01845,IL12B","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:159356215,26974007,Ellinghaus D,5,159356215.0
rs11641184-?,3e-11,-,NR,-,0.0769,[0.054-0.1],LITAF,Ulcerative colitis,ulcerative colitis,-,GCST90446794,16:11610795,37156999,Liu Z,16,11610795.0
rs1292035-?,3e-11,(subset analysis),NR,-,,-,RPS6KB1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:59912196,26974007,Ellinghaus D,17,59912196.0
rs2269426-A,4e-11,-,NR,0.872,,[0.837-0.908],TNXB,Ulcerative colitis,ulcerative colitis,-,GCST90301321,6:32108722,37262302,Khrom M,6,32108722.0
rs702872-?,4e-11,(subset analysis),NR,-,,-,REL-DT,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:60854175,26974007,Ellinghaus D,2,60854175.0
rs1182188-?,4e-11,(subset analysis),NR,-,,-,GNA12,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,7:2830351,26974007,Ellinghaus D,7,2830351.0
rs798502-?,4e-11,-,NR,-,,-,"GNA12,AMZ1",Ulcerative colitis,ulcerative colitis,-,GCST004133,7:2750246,28067908,de Lange KM,7,2750246.0
rs17622378-G,4e-11,(EA),0.4186,1.0865855,,[1.06-1.11],"CARINH,IRF1",Ulcerative colitis,ulcerative colitis,-,GCST003045,5:132442760,26192919,Liu JZ,5,132442760.0
rs7578575-?,4e-11,-,NR,-,0.084,[0.059-0.109],DNMT3A,Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:25265950,37156999,Liu Z,2,25265950.0
rs2872507-A,5e-11,-,0.46,1.15,,[1.10-1.19],"ZPBP2,GSDMB",Ulcerative colitis,ulcerative colitis,-,GCST000964,17:39884510,21297633,Anderson CA,17,39884510.0
rs7805114-?,5e-11,(subset analysis),NR,-,,-,"PIGCP2,DLD","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,7:107809588,26974007,Ellinghaus D,7,107809588.0
rs17780256-?,6e-11,(subset analysis),NR,-,,-,SLC39A11,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:72646784,26974007,Ellinghaus D,17,72646784.0
rs11742570-G,6e-11,(EA),0.61,1.0874969,,-,"RNU1-150P,TTC33",Ulcerative colitis,ulcerative colitis,-,GCST003045,5:40410482,26192919,Liu JZ,5,40410482.0
rs2838519-G,6e-11,-,0.39,1.14,,[1.05-1.22],GATD3,Ulcerative colitis,ulcerative colitis,-,GCST000964,21:44195140,21297633,Anderson CA,21,44195140.0
rs12942547-A,7e-11,(EA),0.58,1.0883672,,-,STAT3,Ulcerative colitis,ulcerative colitis,-,GCST003045,17:42375526,26192919,Liu JZ,17,42375526.0
rs6017342-C,7e-11,-,NR,-,0.1285,[0.09-0.167],LINC01620,Ulcerative colitis,ulcerative colitis,-,GCST90018933,20:44436388,34594039,Sakaue S,20,44436388.0
rs11581607-A,7e-11,-,NR,0.7,,-,IL23R,Ulcerative colitis,ulcerative colitis,-,GCST90454275,1:67242007,37002690,Zeng Y,1,67242007.0
rs941823-?,7e-11,(subset analysis),NR,-,,-,LINC00598,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,13:40439840,26974007,Ellinghaus D,13,40439840.0
rs4676406-T,8e-11,-,0.52,1.14,,[1.09-1.18],"GPR35,AQP12B",Ulcerative colitis,ulcerative colitis,-,GCST000964,2:240639691,21297633,Anderson CA,2,240639691.0
rs117372389-T,8e-11,-,0.02,-,,-,NKD1,Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,16:50634166,26301688,Li YR,16,50634166.0
rs116046827-?,8e-11,(subset analysis),NR,-,,-,BSN,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,3:49618715,26974007,Ellinghaus D,3,49618715.0
rs2066363-C,8e-11,-,0.34,-,,-,ADGRL2,Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,1:81771892,26301688,Li YR,1,81771892.0
rs72743477-G,8e-11,-,0.21,-,,-,SMAD3,Pediatric autoimmune diseases,"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis",-,GCST003097,15:67171953,26301688,Li YR,15,67171953.0
rs7809799-G,9e-11,-,0.04,1.56,,[1.36-1.78],"KPNA7,SMURF1",Ulcerative colitis,ulcerative colitis,-,GCST000623,7:99162881,20228798,Franke A,7,99162881.0
rs76418789-?,9e-11,-,NR,1.9607843,,[1.59-2.38],"IL23R,C1orf141",Ulcerative colitis,ulcerative colitis,-,GCST010001,1:67182913,32072174,Okamoto D,1,67182913.0
rs11676348-T,1e-10,-,0.49,1.07,,[1.03-1.11],"CXCR1,CXCR2",Ulcerative colitis,ulcerative colitis,-,GCST000964,2:218145423,21297633,Anderson CA,2,218145423.0
rs6434978-?,1e-10,(subset analysis),NR,-,,-,"PLCL1,RNU7-147P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:198702963,26974007,Ellinghaus D,2,198702963.0
rs2239805-C,1e-10,-,NR,0.839,,[0.796-0.885],HLA-DRA,Ulcerative colitis,ulcerative colitis,-,GCST90301322,6:32443599,37262302,Khrom M,6,32443599.0
rs10797432-?,1e-10,-,NR,-,,-,"PRXL2B,TNFRSF14",Ulcerative colitis,ulcerative colitis,-,GCST004133,1:2569899,28067908,de Lange KM,1,2569899.0
